date,action,price,shares,commission
2016-09-12,sell,3.317,36760.65488892006,36.58052767996435
2016-10-12,buy,3.36,36268.43843836964,36.558585945876594
2016-12-09,sell,3.557,36268.43843836964,38.70205065758424
2017-01-09,buy,3.42,37698.67094685139,38.67883639146952
2017-01-16,sell,3.371,37698.67094685139,38.124665928550804
2017-01-20,buy,3.415,37190.62761286035,38.10179798937542
2017-01-24,sell,3.363,37190.62761286035,37.5216241986148
2017-02-13,buy,3.431,36431.670043682534,37.49911797596243
2017-03-07,sell,3.446,36431.670043682534,37.663060491159
2017-03-16,buy,3.478,36074.822150835724,37.640469432181995
2017-04-19,sell,3.438,36074.822150835724,37.20757156637197
2017-05-19,buy,3.402,36434.69892101354,37.18525371878642
2017-08-11,sell,3.7,36434.69892101354,40.44251580232503
2017-08-22,buy,3.803,35426.643501019586,40.41825757031324
2017-09-25,sell,3.878,35426.643501019586,41.21535704908618
2017-10-09,buy,3.943,34821.73915918171,41.19063525139604
2017-11-29,sell,4.101,34821.73915918171,42.841185687541255
2017-12-22,buy,4.101,34800.852381719444,42.815488685229425
2017-12-29,sell,4.076,34800.852381719444,42.55448229236653
2018-01-02,buy,4.136,34275.432995245545,42.52895726050067
2018-02-01,sell,4.241,34275.432995245545,43.6086333998509
2018-03-09,buy,4.111,35338.09784076124,43.58247606701084
2018-03-22,sell,4.013,35338.09784076124,42.54353599049245
2018-05-09,buy,3.87,36621.89278590696,42.51801752443798
2018-05-28,sell,3.835,36621.89278590696,42.133487650185955
2018-07-17,buy,3.497,40137.46557940052,42.108215139349085
2018-08-03,sell,3.369,40137.46557940052,40.56693646110011
2018-08-28,buy,3.463,39024.54865635004,40.54260359908205
2018-09-05,sell,3.353,39024.54865635004,39.254793493422504
2018-09-21,buy,3.484,37534.68013879655,39.23124768107016
2018-10-11,sell,3.174,37534.68013879655,35.74052242816207
2018-11-05,buy,3.32,35862.53468480904,35.7190845460698
2018-11-26,sell,3.189,35862.53468480904,34.30968693295681
2018-12-04,buy,3.324,34385.38637654283,34.289107294688506
2018-12-11,sell,3.218,34385.38637654283,33.19565200791445
2019-01-11,buy,3.156,35039.861206310765,33.175740590135035
2019-03-28,sell,3.717,35039.861206310765,39.07294923115713
2019-04-01,buy,3.969,32795.42495392626,39.04951249263999
2019-04-26,sell,3.879,32795.42495392626,38.164036018883984
2019-06-13,buy,3.692,34435.84729571948,38.14114446473889
2019-07-12,sell,3.855,34435.84729571948,39.82505739749958
2019-07-26,buy,3.912,33913.7436344764,39.8011695294215
2019-08-05,sell,3.735,33913.7436344764,38.0003497424308
2019-08-21,buy,3.842,32949.46761287254,37.977556370596886
2019-09-26,sell,3.907,32949.46761287254,38.6200709890479
2019-10-15,buy,3.997,32188.229418716033,38.59690589598239
2019-10-24,sell,3.939,32188.229418716033,38.03683070409673
2019-10-25,buy,3.963,31974.106695475173,38.01401545025043
2019-11-14,sell,3.962,31974.106695475173,38.00442321824179
2019-12-10,buy,3.956,32003.3934976874,37.981627403055406
2019-12-12,sell,3.889,32003.3934976874,37.338359193751884
2019-12-16,buy,3.98,31252.900248848095,37.31596289712462
2020-01-23,sell,3.996,31252.900248848095,37.46597681831909
2020-02-18,buy,4.039,30901.629094727556,37.44350397408137
2020-03-12,sell,3.948,30901.629094727556,36.59988949979531
2020-04-08,buy,3.765,32384.184286940905,36.57793615209975
2020-05-25,sell,3.817,32384.184286940905,37.08312942697603
2020-06-03,buy,3.978,31054.87365701462,37.06088622228125
2020-07-28,sell,4.617,31054.87365701462,43.01410550233095
2020-08-04,buy,4.829,29673.710760852126,42.98830477924647
2020-08-14,sell,4.778,29673.710760852126,42.53429700460543
2020-08-17,buy,4.877,29053.915713403032,42.508784080279966
2020-09-09,sell,4.645,29053.915713403032,40.486631546627116
2020-10-12,buy,4.887,27598.626869318054,40.46234685310719
2020-10-30,sell,4.757,27598.626869318054,39.38600040520379
2020-11-04,buy,4.873,26925.491410024308,39.36237589231453
2020-12-11,sell,4.954,26925.491410024308,40.016665333578125
2020-12-21,buy,5.11,26087.84248872634,39.99266253521748
2021-01-29,sell,5.348,26087.84248872634,41.85533448891253
2021-02-09,buy,5.692,24496.503173998528,41.83022881991988
2021-02-26,sell,5.329,24496.503173998528,39.16255962427144
2021-04-01,buy,5.112,25521.04142908416,39.13906913564347
2021-04-13,sell,4.947,25521.04142908416,37.8757775849038
2021-04-22,buy,5.089,24794.038733181467,37.85305893394814
2021-05-11,sell,5.025,24794.038733181467,37.37701339027106
2021-05-17,buy,5.188,24000.638594244123,37.35459390808155
2021-06-15,sell,5.181,24000.638594244123,37.30419256703364
2021-06-29,buy,5.225,23784.25311912872,37.281816764234264
2021-07-05,sell,5.12,23784.25311912872,36.53261279098171
2021-07-23,buy,5.157,23599.443990178563,36.510699797205255
2021-07-26,sell,4.982,23599.443990178563,35.27172898772088
2021-08-11,buy,5.078,23139.40678569999,35.25057229733537
2021-08-18,sell,4.957,23139.40678569999,34.41061183101445
2021-09-07,buy,5.065,22632.42622965999,34.38997165596836
2021-09-22,sell,4.895,22632.42622965999,33.235717918255695
2021-10-13,buy,5.009,22104.067656977288,33.21578246813977
2021-11-01,sell,4.965,22104.067656977288,32.92400877506767
2021-11-17,buy,4.959,22117.537335717447,32.90426029434684
2021-11-18,sell,4.915,22117.537335717447,32.612308801515375
2021-11-19,buy,4.97,21859.656126552327,32.592747284689516
2021-12-01,sell,4.924,21859.656126552327,32.2910840301431
2021-12-07,buy,5.002,21505.874443807104,32.27171519037694
2021-12-22,sell,4.982,21505.874443807104,32.1426799437141
2022-04-06,buy,4.257,25153.394502932486,32.12340011969507
2022-04-12,sell,4.171,25153.394502932486,31.47444254151942
2022-05-18,buy,3.986,26305.03724677626,31.455563539695053
2022-07-13,sell,4.359,26305.03724677626,34.39909720760931
2022-08-17,buy,4.276,26799.550934880925,34.378463939265245
2022-08-24,sell,4.145,26799.550934880925,33.325241587524424
2022-11-08,buy,3.811,29130.80769641947,33.30525243931638
2022-12-22,sell,3.901,29130.80769641947,34.091784247119705
